techs,carriers,systemwide_capacity_factor
existing_coal,coal,0.0
existing_coal,electricity,0.4860149168260069
existing_coal,natural_gas,0.0
existing_coal,oil,0.0
existing_coal,uranium,0.0
existing_hydro_reservoir,coal,0.0
existing_hydro_reservoir,electricity,0.00037451121077432525
existing_hydro_reservoir,natural_gas,0.0
existing_hydro_reservoir,oil,0.0
existing_hydro_reservoir,uranium,0.0
existing_hydro_run_of_river,coal,0.0
existing_hydro_run_of_river,electricity,1.4357243116369908e-07
existing_hydro_run_of_river,natural_gas,0.0
existing_hydro_run_of_river,oil,0.0
existing_hydro_run_of_river,uranium,0.0
existing_nuclear,coal,0.0
existing_nuclear,electricity,0.9822544583983465
existing_nuclear,natural_gas,0.0
existing_nuclear,oil,0.0
existing_nuclear,uranium,0.0
existing_oil_and_other,coal,0.0
existing_oil_and_other,electricity,0.00047449410671798634
existing_oil_and_other,natural_gas,0.0
existing_oil_and_other,oil,0.0
existing_oil_and_other,uranium,0.0
existing_open_field_pv,coal,0.0
existing_open_field_pv,electricity,0.9760295595161882
existing_open_field_pv,natural_gas,0.0
existing_open_field_pv,oil,0.0
existing_open_field_pv,uranium,0.0
existing_pumped_hydro,coal,0.0
existing_pumped_hydro,electricity,0.5075024100649508
existing_pumped_hydro,natural_gas,0.0
existing_pumped_hydro,oil,0.0
existing_pumped_hydro,uranium,0.0
existing_rooftop_pv,coal,0.0
existing_rooftop_pv,electricity,0.8609419652703051
existing_rooftop_pv,natural_gas,0.0
existing_rooftop_pv,oil,0.0
existing_rooftop_pv,uranium,0.0
existing_wind_onshore,coal,0.0
existing_wind_onshore,electricity,0.26946793581684064
existing_wind_onshore,natural_gas,0.0
existing_wind_onshore,oil,0.0
existing_wind_onshore,uranium,0.0
existing_wte,coal,0.0
existing_wte,electricity,0.5196073205912066
existing_wte,natural_gas,0.0
existing_wte,oil,0.0
existing_wte,uranium,0.0
natural_gas_DEU,coal,0.0
natural_gas_DEU,electricity,0.0
natural_gas_DEU,natural_gas,0.9967285406375609
natural_gas_DEU,oil,0.0
natural_gas_DEU,uranium,0.0
natural_gas_DNK,coal,0.0
natural_gas_DNK,electricity,0.0
natural_gas_DNK,natural_gas,0.8223046356880159
natural_gas_DNK,oil,0.0
natural_gas_DNK,uranium,0.0
natural_gas_DZA,coal,0.0
natural_gas_DZA,electricity,0.0
natural_gas_DZA,natural_gas,0.12403313025568048
natural_gas_DZA,oil,0.0
natural_gas_DZA,uranium,0.0
natural_gas_NOR,coal,0.0
natural_gas_NOR,electricity,0.0
natural_gas_NOR,natural_gas,0.09261827390897318
natural_gas_NOR,oil,0.0
natural_gas_NOR,uranium,0.0
natural_gas_PT,coal,0.0
natural_gas_PT,electricity,0.0
natural_gas_PT,natural_gas,0.8310330159249786
natural_gas_PT,oil,0.0
natural_gas_PT,uranium,0.0
natural_gas_liquid_DZA,coal,0.0
natural_gas_liquid_DZA,electricity,0.0
natural_gas_liquid_DZA,natural_gas,0.2970359613079829
natural_gas_liquid_DZA,oil,0.0
natural_gas_liquid_DZA,uranium,0.0
natural_gas_liquid_NGA,coal,0.0
natural_gas_liquid_NGA,electricity,0.0
natural_gas_liquid_NGA,natural_gas,0.5188811613057809
natural_gas_liquid_NGA,oil,0.0
natural_gas_liquid_NGA,uranium,0.0
natural_gas_liquid_QAT,coal,0.0
natural_gas_liquid_QAT,electricity,0.0
natural_gas_liquid_QAT,natural_gas,0.0
natural_gas_liquid_QAT,oil,0.0
natural_gas_liquid_QAT,uranium,0.0
natural_gas_liquid_RUS,coal,0.0
natural_gas_liquid_RUS,electricity,0.0
natural_gas_liquid_RUS,natural_gas,0.7134185342601953
natural_gas_liquid_RUS,oil,0.0
natural_gas_liquid_RUS,uranium,0.0
natural_gas_liquid_USA,coal,0.0
natural_gas_liquid_USA,electricity,0.0
natural_gas_liquid_USA,natural_gas,0.8206966681134793
natural_gas_liquid_USA,oil,0.0
natural_gas_liquid_USA,uranium,0.0
oil_LBY,coal,0.0
oil_LBY,electricity,0.0
oil_LBY,natural_gas,0.0
oil_LBY,oil,0.47342095344864826
oil_LBY,uranium,0.0
oil_MEX,coal,0.0
oil_MEX,electricity,0.0
oil_MEX,natural_gas,0.0
oil_MEX,oil,0.21029955853000992
oil_MEX,uranium,0.0
oil_NGA,coal,0.0
oil_NGA,electricity,0.0
oil_NGA,natural_gas,0.0
oil_NGA,oil,0.5035105787062044
oil_NGA,uranium,0.0
oil_SA,coal,0.0
oil_SA,electricity,0.0
oil_SA,natural_gas,0.0
oil_SA,oil,0.45289579366441
oil_SA,uranium,0.0
oil_USA,coal,0.0
oil_USA,electricity,0.0
oil_USA,natural_gas,0.0
oil_USA,oil,0.5481011102795622
oil_USA,uranium,0.0
open_field_pv_CN,coal,0.0
open_field_pv_CN,electricity,0.10632601266180247
open_field_pv_CN,natural_gas,0.0
open_field_pv_CN,oil,0.0
open_field_pv_CN,uranium,0.0
open_field_pv_DE,coal,0.0
open_field_pv_DE,electricity,0.8019620851498619
open_field_pv_DE,natural_gas,0.0
open_field_pv_DE,oil,0.0
open_field_pv_DE,uranium,0.0
open_field_pv_ESP,coal,0.0
open_field_pv_ESP,electricity,0.5682013512296493
open_field_pv_ESP,natural_gas,0.0
open_field_pv_ESP,oil,0.0
