nodes,techs,carriers,definition_matrix
ESP_1,existing_biogas_to_electricity_supply,natural_gas,False
ESP_1,existing_biogas_to_electricity_supply,oil,False
ESP_1,existing_biogas_to_electricity_supply,uranium,False
ESP_1,existing_biomass,coal,False
ESP_1,existing_biomass,electricity,True
ESP_1,existing_biomass,natural_gas,False
ESP_1,existing_biomass,oil,False
ESP_1,existing_biomass,uranium,False
ESP_1,existing_ccgt,coal,False
ESP_1,existing_ccgt,electricity,True
ESP_1,existing_ccgt,natural_gas,True
ESP_1,existing_ccgt,oil,False
ESP_1,existing_ccgt,uranium,False
ESP_1,existing_chp,coal,False
ESP_1,existing_chp,electricity,True
ESP_1,existing_chp,natural_gas,True
ESP_1,existing_chp,oil,False
ESP_1,existing_chp,uranium,False
ESP_1,existing_coal,coal,True
ESP_1,existing_coal,electricity,True
ESP_1,existing_coal,natural_gas,False
ESP_1,existing_coal,oil,False
ESP_1,existing_coal,uranium,False
ESP_1,existing_hydro_reservoir,coal,False
ESP_1,existing_hydro_reservoir,electricity,True
ESP_1,existing_hydro_reservoir,natural_gas,False
ESP_1,existing_hydro_reservoir,oil,False
ESP_1,existing_hydro_reservoir,uranium,False
ESP_1,existing_hydro_run_of_river,coal,False
ESP_1,existing_hydro_run_of_river,electricity,True
ESP_1,existing_hydro_run_of_river,natural_gas,False
ESP_1,existing_hydro_run_of_river,oil,False
ESP_1,existing_hydro_run_of_river,uranium,False
ESP_1,existing_nuclear,coal,False
ESP_1,existing_nuclear,electricity,True
ESP_1,existing_nuclear,natural_gas,False
ESP_1,existing_nuclear,oil,False
ESP_1,existing_nuclear,uranium,True
ESP_1,existing_oil_and_other,coal,False
ESP_1,existing_oil_and_other,electricity,True
ESP_1,existing_oil_and_other,natural_gas,False
ESP_1,existing_oil_and_other,oil,True
ESP_1,existing_oil_and_other,uranium,False
ESP_1,existing_open_field_pv,coal,False
ESP_1,existing_open_field_pv,electricity,True
ESP_1,existing_open_field_pv,natural_gas,False
ESP_1,existing_open_field_pv,oil,False
ESP_1,existing_open_field_pv,uranium,False
ESP_1,existing_pumped_hydro,coal,False
ESP_1,existing_pumped_hydro,electricity,True
ESP_1,existing_pumped_hydro,natural_gas,False
ESP_1,existing_pumped_hydro,oil,False
ESP_1,existing_pumped_hydro,uranium,False
ESP_1,existing_rooftop_pv,coal,False
ESP_1,existing_rooftop_pv,electricity,True
